_10_most_popular_centrally_protected_ticketed_monuments_for_domestic_visitors_in_2021_22___rank,_10_most_popular_centrally_protected_ticketed_monuments_for_domestic_visitors_in_2021_22___name_of_monument,_10_most_popular_centrally_protected_ticketed_monuments_for_domestic_visitors_in_2021_22___no__of_domestic_visitors,_10_most_popular_centrally_protected_ticketed_monuments_for_domestic_visitors_in_2021_22___percentage_share,_10_most_popular_centrally_protected_ticketed_monuments_for_foreign_visitors_in_2021_22___rank,_10_most_popular_centrally_protected_ticketed_monuments_for_foreign_visitors_in_2021_22___name_of_monument,_10_most_popular_centrally_protected_ticketed_monuments_for_foreign_visitors_in_2021_22___no__of_foreign_visitors,_10_most_popular_centrally_protected_ticketed_monuments_for_foreign_visitors_in_2021_22___percentage_share,_resource_id,_source_resource_id
1,Taj Mahal,3294611,12.65,1,"Group of Monument, Mamallapuram",144984,45.5,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
2,Red Fort,1323501,5.08,2,Taj Mahal,38922,12.21,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
3,Qutub Minar,1157664,4.44,3,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",25579,8.03,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
4,"Group of Monument, Mamallapuram",1142150,4.38,4,Agra Fort,13598,4.27,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
5,Agra Fort,1027462,3.94,5,"Gingee Fort, Gingee",10483,3.29,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
6,Golkonda Fort,946972,3.64,6,Fort Vattakottai,9174,2.88,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
7,"Sun Temple, Konark",672891,2.58,7,Qutub Minar,8456,2.65,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
8,Upper Fort Aguada,656756,2.52,8,"Fort Museum, Thirumayam",8422,2.64,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
9,Chittorgarh Fort,590389,2.27,9,Red Fort,5579,1.75,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
10,Shaniwarwada,516448,1.98,10,"Rock Cut Jain Temple, Sittanasal",5432,1.7,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
Others,Others,14718047,56.51,Others,Others,48044,15.08,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
Total,Total,26046891,100,Total,Total,318673,100,02e72f1b-d82d-4512-a105-7b4373d6fa85,02e72f1b-d82d-4512-a105-7b4373d6fa85
