crop,season,production_target_for_2016_17,_resource_id,_source_resource_id
Rice,Kharif,93,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Rice,Rabi,15.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total,Total,108.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Wheat,Rabi,96.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Jowar,Kharif,3,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Jowar,Rabi,3,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total,Total,6,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Bajra,Kharif,9.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Maize,Kharif,17.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Maize,Rabi,7,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total,Total,24.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Ragi,Kharif,2,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Small Millets,Kharif,0.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Barley,Rabi,1.85,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total Coarse Cereals,Kharif,32.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total Coarse Cereals,Rabi,11.85,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total,Total,44.35,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total Pulses,Kharif,7.25,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total Pulses,Rabi,13.5,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total,Total,20.75,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total Foodgrains,Kharif,132.75,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total Foodgrains,Rabi,137.35,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
Total,Total,270.1,7b9f57f0-5f8a-4442-9759-352dacb9d71b,7b9f57f0-5f8a-4442-9759-352dacb9d71b
