sl_no,crop,no_of_notified_firkas,no_of_notified_villages,no_of_crop_cutting_experiments_planned_for_firkas,no_of_crop_cutting_experiments_planned_for_villages,_resource_id,_source_resource_id
1,Paddy K/K/S,NA,5468,NA,21872,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
2,Paddy S/T/P,NA,11779,NA,47116,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
3,Banana,NA,1079,NA,4316,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
4,Blackgram,NA,1432,NA,5728,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
5,Gingelly,156,NA,1560,NA,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
6,Greengram,NA,536,NA,2144,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
7,Sunflower,6,NA,60,NA,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
8,Maize,NA,2448,NA,9792,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
9,Groundnut,NA,4211,NA,16844,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
10,Onion,NA,294,NA,1176,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
11,Potato,NA,25,NA,100,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
12,COTTON,NA,1487,NA,5948,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
13,Tapioca,NA,360,NA,1440,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
14,Turmeric,NA,695,NA,2780,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
15,Red gram,NA,1487,NA,5948,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
16,cholam,373,NA,3730,NA,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
17,Cumbu,161,NA,1610,NA,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
18,ragi,135,NA,1350,NA,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
19,cowpea,126,NA,1260,NA,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
0,Crop Total,957,31301,9570,125204,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
NA,NA,NA,NA,NA,NA,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
NA,NA,NA,NA,NA,NA,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c,14f6f0d0-311d-4b71-acfe-ac08bbecfd1c
