sl__no_,state_ut,fisheries_total_no__of_applications___received,fisheries_total_no__of_applications___sanctioned,fisheries_total_no__of_applications___pending_greater_than_15_days,fisheries_total_no__of_applications__rejected,_resource_id,_source_resource_id
1,Andaman and Nicobar Islands,611,384,4,223,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
2,Andhra Pradesh,29203,22467,1326,5410,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
3,Arunachal Pradesh,331,221,1,109,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
4,Assam,9408,2247,631,6530,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
5,Bihar,12548,1368,1735,9445,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
6,Chandigarh,NA,NA,NA,NA,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
7,Chhattisgarh,10386,3659,727,6000,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
8,Dadra and Nagar Haveli,3,3,NA,NA,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
9,Daman and Diu,87,65,0,22,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
10,Delhi,84,NA,NA,84,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
11,Goa,157,55,70,32,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
12,Gujarat,21870,11584,1353,8933,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
13,Haryana,816,357,10,449,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
14,Himachal Pradesh,1061,789,9,263,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
15,Jammu and Kashmir,2488,1730,640,118,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
16,Jharkhand,3043,1554,160,1329,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
17,Karnataka,33025,14711,2175,16139,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
18,Kerala,9893,7956,753,1184,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
19,Ladakh,1,1,NA,NA,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
20,Lakshadweep,1048,1048,NA,NA,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
21,Madhya Pradesh,169319,105185,4188,59946,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
22,Maharashtra,32732,10438,2519,19775,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
23,Manipur,440,102,0,338,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
24,Meghalaya,591,375,18,198,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
25,Mizoram,57,53,NA,NA,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
26,Nagaland,95,82,0,13,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
27,Odisha,10983,2294,404,8285,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
28,Puducherry,2074,1466,0,608,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
29,Punjab,606,139,30,437,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
30,Rajasthan,837,470,4,363,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
31,Sikkim,5,5,NA,NA,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
32,Tamil Nadu,256825,252751,832,3242,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
33,Telangana,7416,3927,0,3489,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
34,Tripura,1582,748,1,833,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
35,Uttar Pradesh,32835,10949,2161,19725,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
36,Uttarakhand,3844,2817,261,766,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
37,West Bengal,3855,1492,19,2344,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
Grand Total,Grand Total,660159,463492,20035,176632,2bbff406-a8a8-4920-90c3-095adebf531f,2bbff406-a8a8-4920-90c3-095adebf531f
