crop_,production__million_tonnes_,_resource_id,_source_resource_id
Rice,104.99,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Bajra,9.75,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Maize,23.1,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Tur,3.89,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Urad,1.84,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Moong,1.75,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Total Pulses,8.37,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Total Foodgrains,149.92,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Groundnut,8.37,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Soyabean,12.89,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Total Oilseeds,23.57,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Sugarcane,465.05,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Cotton,34.19,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
Jute & Mesta,10.09,98a33686-715f-4076-97da-fa3dcf6bc61b,98a33686-715f-4076-97da-fa3dcf6bc61b
