state,projects_having_deficiency___equal_to_and_less_than_80__of_average_of_last_10_years_,current_year_s_storage_as__age_of_normal,_resource_id,_source_resource_id
Andhra Pradesh and Telengana,Srisailam,76,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Andhra Pradesh,Donkarayi,80,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Telengana,Priyadarshini Jurala,56,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Bihar,Chandan Dam,62,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Jharkhand,Tilaiya,62,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Gujarat,Panam,52,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Gujarat,Sukhi (Gujarat),76,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Gujarat,Machchhu-ii,80,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Karnataka,Mani Dam,68,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Karnataka,Tattihalla,5,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Kerala,Kallada (Parappar),78,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Mahaya Pradesh,Sanjay Sarovar,71,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Maharashtra,Khadakvasla,80,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Maharashtra,Dudhganga,75,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Odisha,Balimela,45,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Odisha,Rengali,66,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Odisha,Hariharjhor,60,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Uttar Pradesh,Rihand,67,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Uttar Pradesh,Sirsi,0,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Uttar Pradesh,Jirgo,7,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
Uttarakhand,Nanak Sagar,62,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
West Bengal,Mayurakshi,69,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
West Bengal,Kangsabati,50,247146af-5216-47ff-80f6-ddea261f1139,247146af-5216-47ff-80f6-ddea261f1139
